record_id,po_qty,po_price,asn_qty,inv_qty,inv_price,has_po_ref,is_repeat,qty_delta,price_diff_pct,label_what,label_who,label_mitigation
TXN_212E6AEF,665,472.93,665,665.0,472.93,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_36E727A9,552,486.1,552,552.0,486.1,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_0DC36D54,336,438.73,336,28.0,438.73,1,0,-308.0,0.0,UOM_DISCREPANCY,Procurement,Review
TXN_90BC2CF8,543,19.78,543,543.0,19.78,0,0,0.0,0.0,UNAUTHORIZED_SHIP,Procurement,Review
TXN_DD9AD8CF,490,471.74,490,490.0,471.74,0,0,0.0,0.0,UNAUTHORIZED_SHIP,Procurement,Review
TXN_FEB8DCE5,459,28.34,459,38.25,28.34,1,0,-420.75,0.0,UOM_DISCREPANCY,Procurement,Review
TXN_1B75FB26,961,60.23,961,961.0,60.23,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_5B6A2823,204,179.26,204,204.0,179.26,1,1,0.0,0.0,DUPLICATE_INVOICE,Vendor,Review
TXN_41715C99,132,262.24,132,11.0,262.24,1,0,-121.0,0.0,UOM_DISCREPANCY,Procurement,Review
TXN_F34301B0,219,87.53,219,219.0,87.53,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_478FFEDB,654,233.91,654,654.0,233.91,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_881DEEB0,516,410.17,516,516.0,410.17,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_766642A8,995,331.56,995,995.0,331.56,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_F1E6E48E,345,54.14,345,345.0,54.14,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_DC1E5469,172,272.8,172,172.0,272.8,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_B4B24C83,918,394.59,918,918.0,394.59,0,0,0.0,0.0,UNAUTHORIZED_SHIP,Procurement,Review
TXN_10D90D17,547,83.49,547,547.0,83.49,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_B3C34EBD,597,449.97,597,597.0,449.97,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_023D679C,255,130.03,204,204.0,130.03,1,0,-51.0,0.0,QTY_SHORT,Logistics,Review
TXN_1D11014A,244,36.53,244,244.0,36.53,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_97FDC654,867,102.95,867,72.25,102.95,1,0,-794.75,0.0,UOM_DISCREPANCY,Procurement,Review
TXN_88715C48,912,497.75,912,912.0,497.75,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_E53F2E43,324,177.1,324,324.0,191.27,1,0,0.0,0.0800112930547714,TAX_MISMATCH,Finance,Review
TXN_CB136014,983,204.13,983,983.0,204.13,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_8126609A,177,72.4,177,14.75,72.4,1,0,-162.25,0.0,UOM_DISCREPANCY,Procurement,Review
TXN_DBE9CC4A,719,383.43,719,719.0,383.43,0,0,0.0,0.0,UNAUTHORIZED_SHIP,Procurement,Review
TXN_53A9C33C,771,269.74,771,771.0,269.74,1,0,0.0,0.0,MATCH,None,Auto-Approve
TXN_757F8BED,495,453.61,495,495.0,453.61,0,0,0.0,0.0,UNAUTHORIZED_SHIP,Procurement,Review
TXN_B794317E,806,492.4,644,644.0,492.4,1,0,-162.0,0.0,QTY_SHORT,Logistics,Review
